rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_basic,CountVectorizer Basic,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_basic__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.012453556060791016,0.0009083747863769531,16.609375,64.78475935828878,99.53858867645263,100,80.53933538234936,
2,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,hashing_word__multinomial_nb,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.006989955902099609,0.0010137557983398438,97.3369140625,62.308479532163744,97.95049663543702,85,76.60976306977747,
3,count_basic,CountVectorizer Basic,count,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,count_basic__multinomial_nb,completed,0.6,0.5704374057315235,0.5528054298642534,0.5634920634920635,0.6190476190476191,0.00325775146484375,0.0005235671997070312,23.4580078125,57.51832579185521,99.47987930297852,100,76.53105504611608,
4,count_basic,CountVectorizer Basic,count,low,linear_svc,LinearSVC,margin_based,medium,count_basic__linear_svc,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.0044193267822265625,0.0012478828430175781,16.44921875,60.48232323232323,99.56962669372558,85,75.9292031165229,
5,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.018545866012573242,0.0018296241760253906,49.4228515625,60.541666666666664,98.79049032211304,85,75.80601473108928,
6,count_basic,CountVectorizer Basic,count,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,count_basic__sgd_log,completed,0.6,0.5558667911609088,0.5408029878618115,0.5833333333333334,0.6190476190476191,0.004444122314453125,0.0005159378051757812,16.826171875,56.464052287581694,99.60585556030273,85,73.72639987023048,
7,hashing_word,HashingVectorizer Word,hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_word__linear_svc,completed,0.6,0.5851851851851851,0.5644444444444445,0.5959595959595959,0.6190476190476191,0.004219532012939453,0.0016245841979980469,49.2783203125,58.577777777777776,98.89164134979248,70,72.49610604773628,
8,hashing_word,HashingVectorizer Word,hashing,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,hashing_word__sgd_log,completed,0.55,0.5190476190476191,0.5021428571428571,0.5092592592592592,0.5714285714285714,0.007387876510620117,0.0012352466583251953,49.6396484375,52.425000000000004,98.88876497268677,70,69.11150299453736,
9,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_3_5__logreg_balanced,completed,0.5,0.46547619047619043,0.46017857142857144,0.46296296296296297,0.5079365079365079,0.0352022647857666,0.002266407012939453,285.81640625,47.331250000000004,93.93647386550904,85,67.56948227310181,
10,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char_3_5__linear_svc,completed,0.5,0.47142857142857136,0.47000000000000003,0.4825396825396826,0.5079365079365079,0.014749765396118164,0.0029697418212890625,285.6875,47.835714285714275,94.01956689834594,70,65.61355623681204,
11,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_char_3_5__multinomial_nb,completed,0.45,0.41659125188536955,0.414343891402715,0.42063492063492064,0.4523809523809524,0.009700298309326172,0.0028426647186279297,402.9306640625,42.46063348416289,91.71262504577636,85,64.44587342544486,
12,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,linear_svc,LinearSVC,margin_based,medium,tfidf_word_1_2__linear_svc,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.0048902034759521484,0.0011324882507324219,50.75,35.764939309056956,98.88770948410036,85,62.1982585168014,
13,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_word_1_2__sgd_log,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.006208181381225586,0.0011625289916992188,51.111328125,35.764939309056956,98.8707726097107,85,62.19487114192347,
14,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word_1_2__logreg_balanced,completed,0.3,0.287962962962963,0.29125,0.3055555555555555,0.29365079365079366,0.010203361511230469,0.0013430118560791016,50.89453125,29.146527777777777,98.84030849456786,100,60.79865197669135,
15,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_char_3_5__sgd_log,completed,0.4,0.38413547237076645,0.3798128342245989,0.40454545454545454,0.41269841269841273,0.03400015830993652,0.005624055862426758,286.033203125,38.74532085561497,93.73789163589478,70,60.557504797767194,
16,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_word_1_2__multinomial_nb,completed,0.3,0.27481146304675713,0.278552036199095,0.2722222222222222,0.29365079365079366,0.007739067077636719,0.001100301742553711,69.4619140625,28.166968325791853,98.49830921173097,100,60.191494421531715,
